,gene_id,group_1,group_2,p_value,chi2_stat,alpha_combined,alpha1,alpha2,transcript_ids
0,Fau,Cycling Radial glia,Radial glia,1.0,0.0,[1.0],[1.0],[1.0],['7639']
1,Rpl35a,Cycling Radial glia,Imature glutamatergic,0.15066903829574585,3.78533935546875,"[49.225128173828125, 93.21434783935547]","[128.09005737304688, 511.0246276855469]","[165.909912109375, 253.68316650390625]","['7383', '10788']"
2,Nnat,Cycling Radial glia,Imature GABAergic,0.15266066789627075,3.759075164794922,"[5.693070411682129, 5.108589172363281]","[6.663750171661377, 8.005475997924805]","[8.086261749267578, 5.43867301940918]","['969', '16000']"
3,Rpl35a,Cycling Radial glia,Imature GABAergic,0.3791961669921875,1.9394035339355469,"[10.776679039001465, 23.094924926757812]","[128.09005737304688, 511.0246276855469]","[19.05264663696289, 36.511634826660156]","['7383', '10788']"
4,Meg3,Cycling Radial glia,Cajal Retzius,0.25627321004867554,2.7230224609375,"[31.978927612304688, 47.81155776977539]","[94.84239959716797, 235.44273376464844]","[115.59514617919922, 135.63221740722656]","['14420', '16928']"
5,Cdc42,Radial glia,Imature glutamatergic,0.2535291910171509,2.7445526123046875,"[44.06239318847656, 41.75618362426758]","[126.34989929199219, 92.86360168457031]","[93.39555358886719, 162.94261169433594]","['1548', '15189']"
6,Tecr,Radial glia,Imature glutamatergic,0.21271014213562012,3.0956497192382812,"[3.848451614379883, 5.628381729125977]","[3.668731451034546, 6.940410137176514]","[138.09005737304688, 92.34339141845703]","['6167', '10841']"
7,Serbp1,Radial glia,Imature glutamatergic,0.1183476448059082,7.35345458984375,"[28.13446617126465, 21.970102310180664, 22.943605422973633, 45.31461715698242]","[172.46694946289062, 0.10476852208375931, 86.70917510986328, 172.46694946289062]","[57.25308609008789, 227.46214294433594, 114.2873764038086, 227.46214294433594]","['3170', '7209', '15243', '18001']"
8,Nnat,Radial glia,Mature glutamatergic,0.004481196403503418,10.81573486328125,"[9.99538516998291, 10.705982208251953]","[177.8066864013672, 250.49200439453125]","[8.439104080200195, 6.768549919128418]","['969', '16000']"
9,Rpl37,Radial glia,Mature glutamatergic,0.6322636604309082,0.9168977737426758,"[7.432641506195068, 14.316076278686523]","[2.5103509426116943, 5.878551959991455]","[157.1726531982422, 219.4896240234375]","['4110', '12868']"
10,Srsf3,Radial glia,Mature glutamatergic,1.0,0.0,[1.0],[1.0],[1.0],['11179']
11,Mtch1,Radial glia,mature GABAergic,0.0593184232711792,5.64967155456543,"[2.666959524154663, 0.6388748288154602]","[125.37458801269531, 4.226297378540039]","[4.780462265014648, 2.634904623031616]","['1858', '5563']"
12,Atp5c1,Radial glia,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['18236']
