,cell_type,transcriptId,count
0,mature Glutamatergic,ENSMUST00000170241.7,0.0
1,Cajal-Retzius,ENSMUST00000170241.7,3.0
2,imature Glutamatergic,ENSMUST00000170241.7,1.0
3,imature Glutamatergic,ENSMUST00000170241.7,2.0
4,intermediate progenitor,ENSMUST00000170241.7,0.0
5,radial glia,ENSMUST00000170241.7,1.0
6,imature Glutamatergic,ENSMUST00000170241.7,0.0
7,intermediate progenitor,ENSMUST00000170241.7,0.0
8,cycling radial glia,ENSMUST00000170241.7,1.0
9,imature Glutamatergic,ENSMUST00000170241.7,0.0
10,mature Glutamatergic,ENSMUST00000170241.7,0.0
11,radial glia,ENSMUST00000170241.7,0.0
12,intermediate progenitor,ENSMUST00000170241.7,2.0
13,mature Glutamatergic,ENSMUST00000170241.7,0.0
14,cycling radial glia,ENSMUST00000170241.7,3.0
15,imature Glutamatergic,ENSMUST00000170241.7,0.0
16,imature GABAergic,ENSMUST00000170241.7,0.0
17,radial glia,ENSMUST00000170241.7,1.0
18,mature Glutamatergic,ENSMUST00000170241.7,0.0
19,mature GABAergic,ENSMUST00000170241.7,0.0
20,intermediate progenitor,ENSMUST00000170241.7,0.0
21,mature Glutamatergic,ENSMUST00000170241.7,1.0
22,imature Glutamatergic,ENSMUST00000170241.7,0.0
23,mature GABAergic,ENSMUST00000170241.7,0.0
24,intermediate progenitor,ENSMUST00000170241.7,1.0
25,mature Glutamatergic,ENSMUST00000170241.7,0.0
26,imature Glutamatergic,ENSMUST00000170241.7,0.0
27,mature GABAergic,ENSMUST00000170241.7,2.0
28,imature GABAergic,ENSMUST00000170241.7,0.0
29,imature GABAergic,ENSMUST00000170241.7,0.0
30,imature GABAergic,ENSMUST00000170241.7,2.0
31,mature Glutamatergic,ENSMUST00000170241.7,1.0
32,mature GABAergic,ENSMUST00000170241.7,0.0
33,imature GABAergic,ENSMUST00000170241.7,0.0
34,imature GABAergic,ENSMUST00000170241.7,1.0
35,cycling radial glia,ENSMUST00000170241.7,4.0
36,imature GABAergic,ENSMUST00000170241.7,0.0
37,mature GABAergic,ENSMUST00000170241.7,1.0
38,mature Glutamatergic,ENSMUST00000170241.7,1.0
39,mature Glutamatergic,ENSMUST00000170241.7,0.0
40,cycling radial glia,ENSMUST00000170241.7,1.0
41,cycling radial glia,ENSMUST00000170241.7,4.0
42,mature Glutamatergic,ENSMUST00000170241.7,5.0
43,imature GABAergic,ENSMUST00000170241.7,1.0
44,imature GABAergic,ENSMUST00000170241.7,1.0
45,imature Glutamatergic,ENSMUST00000170241.7,0.0
46,mature GABAergic,ENSMUST00000170241.7,0.0
47,mature Glutamatergic,ENSMUST00000170241.7,3.0
48,imature Glutamatergic,ENSMUST00000170241.7,0.0
49,imature GABAergic,ENSMUST00000170241.7,0.0
50,imature Glutamatergic,ENSMUST00000170241.7,1.0
51,radial glia,ENSMUST00000170241.7,2.0
52,cycling radial glia,ENSMUST00000170241.7,3.0
53,mature Glutamatergic,ENSMUST00000170241.7,1.0
54,imature GABAergic,ENSMUST00000170241.7,4.0
55,mature Glutamatergic,ENSMUST00000170241.7,1.0
56,imature Glutamatergic,ENSMUST00000170241.7,0.0
57,intermediate progenitor,ENSMUST00000170241.7,1.0
58,cycling radial glia,ENSMUST00000170241.7,2.0
59,imature Glutamatergic,ENSMUST00000170241.7,1.0
60,mature GABAergic,ENSMUST00000170241.7,1.0
61,mature Glutamatergic,ENSMUST00000170241.7,0.0
62,mature Glutamatergic,ENSMUST00000170241.7,1.0
63,intermediate progenitor,ENSMUST00000170241.7,0.0
64,cycling radial glia,ENSMUST00000170241.7,4.0
65,cycling radial glia,ENSMUST00000170241.7,0.0
66,radial glia,ENSMUST00000170241.7,12.0
67,imature GABAergic,ENSMUST00000170241.7,0.0
68,mature GABAergic,ENSMUST00000170241.7,1.0
69,mature GABAergic,ENSMUST00000170241.7,1.0
70,mature Glutamatergic,ENSMUST00000170241.7,1.0
71,mature Glutamatergic,ENSMUST00000170241.7,0.0
72,imature Glutamatergic,ENSMUST00000170241.7,1.0
73,mature Glutamatergic,ENSMUST00000170241.7,0.0
74,intermediate progenitor,ENSMUST00000170241.7,0.0
75,imature Glutamatergic,ENSMUST00000170241.7,0.0
76,mature Glutamatergic,ENSMUST00000170241.7,0.0
77,radial glia,ENSMUST00000170241.7,2.0
78,mature Glutamatergic,ENSMUST00000170241.7,0.0
79,mature GABAergic,ENSMUST00000170241.7,1.0
80,mature Glutamatergic,ENSMUST00000170241.7,0.0
81,mature GABAergic,ENSMUST00000170241.7,0.0
82,radial glia,ENSMUST00000170241.7,0.0
83,mature Glutamatergic,ENSMUST00000170241.7,1.0
84,intermediate progenitor,ENSMUST00000170241.7,2.0
85,mature GABAergic,ENSMUST00000170241.7,0.0
86,imature GABAergic,ENSMUST00000170241.7,1.0
87,mature GABAergic,ENSMUST00000170241.7,0.0
88,cycling radial glia,ENSMUST00000170241.7,1.0
89,mature Glutamatergic,ENSMUST00000170241.7,1.0
90,mature GABAergic,ENSMUST00000170241.7,0.0
91,mature Glutamatergic,ENSMUST00000170241.7,2.0
92,mature GABAergic,ENSMUST00000170241.7,0.0
93,intermediate progenitor,ENSMUST00000170241.7,1.0
94,radial glia,ENSMUST00000170241.7,3.0
95,intermediate progenitor,ENSMUST00000170241.7,0.0
96,mature GABAergic,ENSMUST00000170241.7,0.0
97,cycling radial glia,ENSMUST00000170241.7,2.0
98,mature Glutamatergic,ENSMUST00000170241.7,1.0
99,imature Glutamatergic,ENSMUST00000170241.7,1.0
100,mature Glutamatergic,ENSMUST00000170241.7,0.0
101,cycling radial glia,ENSMUST00000170241.7,0.0
102,mature Glutamatergic,ENSMUST00000170241.7,2.0
103,mature Glutamatergic,ENSMUST00000170241.7,0.0
104,mature Glutamatergic,ENSMUST00000170241.7,0.0
105,cycling radial glia,ENSMUST00000170241.7,0.0
106,radial glia,ENSMUST00000170241.7,3.0
107,imature Glutamatergic,ENSMUST00000170241.7,0.0
108,intermediate progenitor,ENSMUST00000170241.7,5.0
109,imature Glutamatergic,ENSMUST00000170241.7,0.0
110,imature Glutamatergic,ENSMUST00000170241.7,1.0
111,cycling radial glia,ENSMUST00000170241.7,5.0
112,imature Glutamatergic,ENSMUST00000170241.7,0.0
113,imature GABAergic,ENSMUST00000170241.7,1.0
114,mature GABAergic,ENSMUST00000170241.7,0.0
115,imature GABAergic,ENSMUST00000170241.7,1.0
116,imature Glutamatergic,ENSMUST00000170241.7,1.0
117,cycling radial glia,ENSMUST00000170241.7,1.0
118,mature Glutamatergic,ENSMUST00000170241.7,2.0
119,imature Glutamatergic,ENSMUST00000170241.7,0.0
120,mature Glutamatergic,ENSMUST00000170241.7,0.0
121,imature Glutamatergic,ENSMUST00000170241.7,0.0
122,intermediate progenitor,ENSMUST00000170241.7,5.0
123,imature GABAergic,ENSMUST00000170241.7,0.0
124,mature GABAergic,ENSMUST00000170241.7,0.0
125,imature Glutamatergic,ENSMUST00000170241.7,1.0
126,mature Glutamatergic,ENSMUST00000170241.7,0.0
127,mature Glutamatergic,ENSMUST00000170241.7,1.0
128,imature Glutamatergic,ENSMUST00000170241.7,0.0
129,mature GABAergic,ENSMUST00000170241.7,1.0
130,imature GABAergic,ENSMUST00000170241.7,1.0
131,imature Glutamatergic,ENSMUST00000170241.7,1.0
132,mature Glutamatergic,ENSMUST00000170241.7,2.0
133,imature Glutamatergic,ENSMUST00000170241.7,0.0
134,imature Glutamatergic,ENSMUST00000170241.7,0.0
135,radial glia,ENSMUST00000170241.7,1.0
136,imature GABAergic,ENSMUST00000170241.7,1.0
137,radial glia,ENSMUST00000170241.7,0.0
138,imature Glutamatergic,ENSMUST00000170241.7,0.0
139,mature Glutamatergic,ENSMUST00000170241.7,1.0
140,imature Glutamatergic,ENSMUST00000170241.7,0.0
141,imature Glutamatergic,ENSMUST00000170241.7,1.0
142,imature Glutamatergic,ENSMUST00000170241.7,0.0
143,cycling radial glia,ENSMUST00000170241.7,2.0
144,mature GABAergic,ENSMUST00000170241.7,0.0
145,mature GABAergic,ENSMUST00000170241.7,0.0
146,cycling radial glia,ENSMUST00000170241.7,7.0
147,imature Glutamatergic,ENSMUST00000170241.7,1.0
148,mature GABAergic,ENSMUST00000170241.7,1.0
149,cycling radial glia,ENSMUST00000170241.7,0.0
150,mature Glutamatergic,ENSMUST00000170241.7,0.0
151,intermediate progenitor,ENSMUST00000170241.7,1.0
152,cycling radial glia,ENSMUST00000170241.7,0.0
153,mature Glutamatergic,ENSMUST00000170241.7,0.0
154,imature Glutamatergic,ENSMUST00000170241.7,0.0
155,cycling radial glia,ENSMUST00000170241.7,7.0
156,cycling radial glia,ENSMUST00000170241.7,3.0
157,imature Glutamatergic,ENSMUST00000170241.7,1.0
158,imature GABAergic,ENSMUST00000170241.7,1.0
159,imature GABAergic,ENSMUST00000170241.7,0.0
160,imature Glutamatergic,ENSMUST00000170241.7,0.0
161,intermediate progenitor,ENSMUST00000170241.7,0.0
162,mature GABAergic,ENSMUST00000170241.7,0.0
163,intermediate progenitor,ENSMUST00000170241.7,1.0
164,cycling radial glia,ENSMUST00000170241.7,2.0
165,Cajal-Retzius,ENSMUST00000170241.7,0.0
166,mature Glutamatergic,ENSMUST00000170241.7,0.0
167,radial glia,ENSMUST00000170241.7,4.0
168,cycling radial glia,ENSMUST00000170241.7,5.0
169,mature Glutamatergic,ENSMUST00000170241.7,0.0
170,mature GABAergic,ENSMUST00000170241.7,0.0
171,imature GABAergic,ENSMUST00000170241.7,1.0
172,imature Glutamatergic,ENSMUST00000170241.7,1.0
173,mature GABAergic,ENSMUST00000170241.7,1.0
174,cycling radial glia,ENSMUST00000170241.7,5.0
175,cycling radial glia,ENSMUST00000170241.7,1.0
176,mature Glutamatergic,ENSMUST00000170241.7,1.0
177,imature GABAergic,ENSMUST00000170241.7,0.0
178,mature Glutamatergic,ENSMUST00000170241.7,0.0
179,Cajal-Retzius,ENSMUST00000170241.7,0.0
180,intermediate progenitor,ENSMUST00000170241.7,2.0
181,imature Glutamatergic,ENSMUST00000170241.7,1.0
182,radial glia,ENSMUST00000170241.7,3.0
183,mature GABAergic,ENSMUST00000170241.7,0.0
184,mature Glutamatergic,ENSMUST00000170241.7,4.0
185,mature Glutamatergic,ENSMUST00000170241.7,0.0
186,cycling radial glia,ENSMUST00000170241.7,1.0
187,cycling radial glia,ENSMUST00000170241.7,3.0
188,mature Glutamatergic,ENSMUST00000170241.7,0.0
189,imature GABAergic,ENSMUST00000170241.7,7.0
190,mature GABAergic,ENSMUST00000170241.7,0.0
191,mature Glutamatergic,ENSMUST00000170241.7,0.0
192,radial glia,ENSMUST00000170241.7,3.0
193,mature GABAergic,ENSMUST00000170241.7,0.0
194,mature GABAergic,ENSMUST00000170241.7,0.0
195,cycling radial glia,ENSMUST00000170241.7,8.0
196,cycling radial glia,ENSMUST00000170241.7,2.0
197,imature GABAergic,ENSMUST00000170241.7,2.0
198,imature GABAergic,ENSMUST00000170241.7,1.0
199,mature Glutamatergic,ENSMUST00000170241.7,0.0
200,imature Glutamatergic,ENSMUST00000170241.7,0.0
201,imature GABAergic,ENSMUST00000170241.7,2.0
202,intermediate progenitor,ENSMUST00000170241.7,7.0
203,imature Glutamatergic,ENSMUST00000170241.7,0.0
204,cycling radial glia,ENSMUST00000170241.7,0.0
205,radial glia,ENSMUST00000170241.7,1.0
206,intermediate progenitor,ENSMUST00000170241.7,4.0
207,imature Glutamatergic,ENSMUST00000170241.7,0.0
208,imature GABAergic,ENSMUST00000170241.7,1.0
209,intermediate progenitor,ENSMUST00000170241.7,1.0
210,mature Glutamatergic,ENSMUST00000170241.7,0.0
211,mature GABAergic,ENSMUST00000170241.7,0.0
212,imature Glutamatergic,ENSMUST00000170241.7,0.0
213,mature GABAergic,ENSMUST00000170241.7,1.0
214,cycling radial glia,ENSMUST00000170241.7,1.0
215,mature GABAergic,ENSMUST00000170241.7,0.0
216,mature GABAergic,ENSMUST00000170241.7,2.0
217,imature GABAergic,ENSMUST00000170241.7,1.0
218,radial glia,ENSMUST00000170241.7,4.0
219,imature Glutamatergic,ENSMUST00000170241.7,1.0
220,mature Glutamatergic,ENSMUST00000170241.7,5.0
221,cycling radial glia,ENSMUST00000170241.7,2.0
222,mature Glutamatergic,ENSMUST00000170241.7,1.0
223,cycling radial glia,ENSMUST00000170241.7,3.0
224,imature Glutamatergic,ENSMUST00000170241.7,0.0
225,mature Glutamatergic,ENSMUST00000170241.7,0.0
226,mature GABAergic,ENSMUST00000170241.7,0.0
227,intermediate progenitor,ENSMUST00000170241.7,1.0
228,imature Glutamatergic,ENSMUST00000170241.7,0.0
229,imature GABAergic,ENSMUST00000170241.7,4.0
230,mature GABAergic,ENSMUST00000170241.7,1.0
231,imature GABAergic,ENSMUST00000170241.7,3.0
232,cycling radial glia,ENSMUST00000170241.7,2.0
233,mature Glutamatergic,ENSMUST00000170241.7,0.0
234,imature Glutamatergic,ENSMUST00000170241.7,1.0
235,cycling radial glia,ENSMUST00000170241.7,2.0
236,intermediate progenitor,ENSMUST00000170241.7,1.0
237,mature GABAergic,ENSMUST00000170241.7,0.0
238,imature Glutamatergic,ENSMUST00000170241.7,1.0
239,cycling radial glia,ENSMUST00000170241.7,1.0
240,imature GABAergic,ENSMUST00000170241.7,1.0
241,mature Glutamatergic,ENSMUST00000170241.7,1.0
242,imature GABAergic,ENSMUST00000170241.7,0.0
243,intermediate progenitor,ENSMUST00000170241.7,5.0
244,mature Glutamatergic,ENSMUST00000170241.7,2.0
245,imature Glutamatergic,ENSMUST00000170241.7,0.0
246,imature Glutamatergic,ENSMUST00000170241.7,3.0
247,imature GABAergic,ENSMUST00000170241.7,2.0
248,Cajal-Retzius,ENSMUST00000170241.7,1.0
249,imature Glutamatergic,ENSMUST00000170241.7,2.0
250,mature GABAergic,ENSMUST00000170241.7,2.0
251,mature Glutamatergic,ENSMUST00000170241.7,0.0
252,mature Glutamatergic,ENSMUST00000170241.7,1.0
253,mature Glutamatergic,ENSMUST00000170241.7,0.0
254,imature GABAergic,ENSMUST00000170241.7,0.0
255,imature GABAergic,ENSMUST00000170241.7,1.0
256,imature GABAergic,ENSMUST00000170241.7,0.0
257,intermediate progenitor,ENSMUST00000170241.7,1.0
258,mature Glutamatergic,ENSMUST00000170241.7,1.0
259,cycling radial glia,ENSMUST00000170241.7,2.0
260,radial glia,ENSMUST00000170241.7,1.0
261,imature Glutamatergic,ENSMUST00000170241.7,0.0
262,radial glia,ENSMUST00000170241.7,2.0
263,intermediate progenitor,ENSMUST00000170241.7,0.0
264,mature Glutamatergic,ENSMUST00000170241.7,0.0
265,cycling radial glia,ENSMUST00000170241.7,5.0
266,imature GABAergic,ENSMUST00000170241.7,1.0
267,mature Glutamatergic,ENSMUST00000170241.7,1.0
268,cycling radial glia,ENSMUST00000170241.7,2.0
269,mature Glutamatergic,ENSMUST00000170241.7,0.0
270,intermediate progenitor,ENSMUST00000170241.7,2.0
271,cycling radial glia,ENSMUST00000170241.7,7.0
272,radial glia,ENSMUST00000170241.7,3.0
273,radial glia,ENSMUST00000170241.7,7.0
274,mature GABAergic,ENSMUST00000170241.7,2.0
275,mature Glutamatergic,ENSMUST00000170241.7,0.0
276,imature Glutamatergic,ENSMUST00000170241.7,3.0
277,mature GABAergic,ENSMUST00000170241.7,2.0
278,mature Glutamatergic,ENSMUST00000170241.7,1.0
279,imature Glutamatergic,ENSMUST00000170241.7,0.0
280,mature Glutamatergic,ENSMUST00000170241.7,0.0
281,imature GABAergic,ENSMUST00000170241.7,0.0
282,imature GABAergic,ENSMUST00000170241.7,4.0
283,imature Glutamatergic,ENSMUST00000170241.7,2.0
284,intermediate progenitor,ENSMUST00000170241.7,0.0
285,mature Glutamatergic,ENSMUST00000170241.7,5.0
286,mature Glutamatergic,ENSMUST00000170241.7,0.0
287,intermediate progenitor,ENSMUST00000170241.7,11.0
288,imature Glutamatergic,ENSMUST00000170241.7,0.0
289,imature GABAergic,ENSMUST00000170241.7,1.0
290,mature Glutamatergic,ENSMUST00000170241.7,0.0
291,mature GABAergic,ENSMUST00000170241.7,0.0
292,cycling radial glia,ENSMUST00000170241.7,4.0
293,imature Glutamatergic,ENSMUST00000170241.7,1.0
294,imature GABAergic,ENSMUST00000170241.7,1.0
295,Cajal-Retzius,ENSMUST00000170241.7,0.0
296,cycling radial glia,ENSMUST00000170241.7,1.0
297,imature Glutamatergic,ENSMUST00000170241.7,0.0
298,mature Glutamatergic,ENSMUST00000170241.7,1.0
299,imature GABAergic,ENSMUST00000170241.7,0.0
300,cycling radial glia,ENSMUST00000170241.7,5.0
301,radial glia,ENSMUST00000170241.7,3.0
302,mature GABAergic,ENSMUST00000170241.7,0.0
303,intermediate progenitor,ENSMUST00000170241.7,2.0
304,imature Glutamatergic,ENSMUST00000170241.7,0.0
305,imature GABAergic,ENSMUST00000170241.7,0.0
306,mature GABAergic,ENSMUST00000170241.7,0.0
307,mature Glutamatergic,ENSMUST00000170241.7,3.0
308,imature Glutamatergic,ENSMUST00000170241.7,1.0
309,mature Glutamatergic,ENSMUST00000170241.7,2.0
310,imature GABAergic,ENSMUST00000170241.7,0.0
311,imature Glutamatergic,ENSMUST00000170241.7,0.0
312,mature Glutamatergic,ENSMUST00000170241.7,0.0
313,mature Glutamatergic,ENSMUST00000170241.7,2.0
314,mature Glutamatergic,ENSMUST00000170241.7,0.0
315,imature Glutamatergic,ENSMUST00000170241.7,1.0
316,cycling radial glia,ENSMUST00000170241.7,19.0
317,mature GABAergic,ENSMUST00000170241.7,0.0
318,imature Glutamatergic,ENSMUST00000170241.7,0.0
319,mature Glutamatergic,ENSMUST00000170241.7,0.0
320,imature GABAergic,ENSMUST00000170241.7,0.0
321,imature Glutamatergic,ENSMUST00000170241.7,1.0
322,cycling radial glia,ENSMUST00000170241.7,0.0
323,radial glia,ENSMUST00000170241.7,1.0
324,cycling radial glia,ENSMUST00000170241.7,0.0
325,mature GABAergic,ENSMUST00000170241.7,0.0
326,mature Glutamatergic,ENSMUST00000170241.7,2.0
327,mature Glutamatergic,ENSMUST00000170241.7,0.0
328,mature Glutamatergic,ENSMUST00000170241.7,2.0
329,mature Glutamatergic,ENSMUST00000170241.7,0.0
330,imature Glutamatergic,ENSMUST00000170241.7,1.0
331,Cajal-Retzius,ENSMUST00000170241.7,2.0
332,imature GABAergic,ENSMUST00000170241.7,0.0
333,mature Glutamatergic,ENSMUST00000170241.7,1.0
334,mature Glutamatergic,ENSMUST00000170241.7,0.0
335,intermediate progenitor,ENSMUST00000170241.7,7.0
336,mature GABAergic,ENSMUST00000170241.7,1.0
337,radial glia,ENSMUST00000170241.7,4.0
338,mature Glutamatergic,ENSMUST00000170241.7,0.0
339,mature Glutamatergic,ENSMUST00000170241.7,0.0
340,mature Glutamatergic,ENSMUST00000170241.7,0.0
341,cycling radial glia,ENSMUST00000170241.7,5.0
342,radial glia,ENSMUST00000170241.7,6.0
343,mature Glutamatergic,ENSMUST00000170241.7,2.0
344,mature Glutamatergic,ENSMUST00000170241.7,0.0
345,imature Glutamatergic,ENSMUST00000170241.7,0.0
346,imature Glutamatergic,ENSMUST00000170241.7,1.0
347,imature Glutamatergic,ENSMUST00000170241.7,0.0
348,imature Glutamatergic,ENSMUST00000170241.7,0.0
349,cycling radial glia,ENSMUST00000170241.7,1.0
350,mature Glutamatergic,ENSMUST00000170241.7,0.0
351,mature Glutamatergic,ENSMUST00000170241.7,2.0
352,mature Glutamatergic,ENSMUST00000170241.7,0.0
